,gen_summary,ref_summary,full_text
0,"Снос домов в ""речнике"" не планируется","строительства на месте поселка ""речник"" на западе москвы не планируется","строительства на месте снесенных домов в поселке ""речник"" на западе москвы после сноса строений не планируется, заявил журналистам в среду префект западного административного округа столицы юрий алпатов.суд постановил, что возводить капитальные строения в поселке ""речник"" запрещено, так как он находится на землях особо охраняемого парка ""москворецкий"". жители утверждают, что судебные решения еще не вступили в силу. снос домов начался в ночь на 21 января, уже снесены девять строений. у обеих конфликтующих сторон есть документы, в которых сейчас разбирается общественная палата. жители ""речника"" уверены, что их дома сносят, чтобы построить на этом месте ""дворцы и хоромы"".""мы сносим эти дома по решению суда, освобождаем татарову пойму от самозахватчиков и вернем эту землю москвичам, чтобы они смогли использовать ее в своих интересах. строительства на месте снесенных домов никогда не будет и не планировалось. на этих землях будет разбит парк"", - заявил алпатов.при этом, у префекта округа есть свое объяснение, почему вокруг поселка поднялась подобная шумиха.""мы спокойно снесли в 2006 году 50 незаконных строений, в 2007 году - около 80 строений, в 2008-2009 годах - 245 строений в самовольно созданном кооперативе ""огородник"", который находится рядом с ""речником"". и тогда не было никакого противостояния. а сейчас наткнулись на противостояние, потому что там проживают непростые люди"", - отметил алпатов.по его словам, снося дома в ""речнике"", власть отстаивает и интересы экологии.""на берегу москва-реки там, где вода является питьевой, стоят дома без канализации, без коммуникаций, и мы об этом молчим, и никто не отстаивает интересы экологии, а это природный парк ""москв"
1,премьер путин поручил минприроды следить за байкальским цбк,путин поручил минприроды следить за байкальским цбк,"премьер-министр рф владимир путин поручил минприроды следить за ситуацией на байкале в связи с возобновлением работы байкальского целлюлозно-бумажного комбината (бцбк).""нужно внимательно анализировать, что там (на байкале) будет происходить в связи с возобновлением работы целлюлозно-бумажного комбината"", - сказал путин на встрече с главой минприроды юрием трутневым.при этом он отметил, что комбинат начал работать еще с конца 1960-х годов.""как доложили ученые, когда я был этим летом на байкале, никаких изменений в экологическом плане за время работы этого предприятия в течение десятилетий не наблюдается, не выявлено. тем не менее, мы должны постоянно мониторить ситуацию, ясно и четко представлять, что там будет происходить"", - заявил премьер.байкальский целлюлозно-бумажный комбинат: производство и экология >>в свою очередь, трутнев сказал, что недавно встречался с олегом дерипаской, владеющим цбк, который рассказал ему о ситуации на комбинате.""он (дерипаска) сказал, что они несколько не успели с отработкой технологий, но гарантируют, что в течение трех лет полностью отработают технологию, не допускающую каких-либо сбросов в байкал, и эта тема будет полностью закрыта"", - добавил трутнев.""надо обязательно внимательно следить за этим"", - заключил глава правительства.постановление правительства рф от 13 января 2010 года исключило производство целлюлозы, бумаги и картона из перечня видов деятельности, запрещенных в центральной экологической зоне байкальской природной территории, что фактически открывает дорогу к возобновлению работы байкальского цбк, не работавшего с октября 2008 года. это решение вызвало резкую критику со стороны экологов.сейчас бцбк восстанавливает производство - в конце декабря комбинат начал тест"
2,В мухоршибире работа по переписи запущена - чепик,«мертвые души» обнаружены в бурятии,"- вы не владеете ситуацией, - такую претензию выразил председатель правительства бурятии по экономическим вопросам александр чепик представителям мухоршибирского района. – в мухоршибири работа по подготовке к переписи запущена.ситуация по подготовке к переписи в двух других районах республики, бичурском и курумканском, отчеты которых были заслушаны сегодня рабочей группой, признана удовлетворительной, хотя определенные замечания к главам этих районов все же имелись.в частности, ряд претензий был предъявлен бичуре, где в ходе подготовительных работ обнаружилось определенное несоответствие с численностью жителей – в бичурском районе вдруг куда-то «исчезло» около двух тысяч человек. представители района предположили, что это – студенты, выехавшие на учебу. администрации района поручено немедленно разобраться с цифрами реальной численности населения."
3,"В ярославле нуждается макет будущего футбольного стадиона ""шинник""","""шиннику"" необходимо доработать макет футбольного стадиона для чм-2018","экспертная комиссия комитета по подготовке к чемпионату мира по футболу-2018/2022 считает, что макет будущего футбольного стадиона ""шинник"" должен быть доработан, сообщил риа новости источник, близкий к ярославскому футбольному клубу.такой вердикт комиссия вынесла после посещения ярославского стадиона. ярославль был последним в списке из 14 претендентов на право проведения в россии чемпионата мира, где побывали московские эксперты.членам комиссии продемонстрировали южную трибуну, реконструкция которой находится в завершающей стадии и будет закончена весной 2010 года, а также комплексный макет будущего стадиона. по словам источника, комиссия посчитала, что существующий макет нуждается в некотором улучшении.проект реконструкции будет доработан при участии интернациональной бригады архитекторов и под руководством рубена реди - автора стадионов чемпионата мира по футболу-2010 в юар. новый макет будет представлен в феврале.в ярославле планируется построить чисто футбольный стадион, отвечающий всем требованиям фифа и вмещающий не менее 40 тысяч зрителей."
4,"никто из руководства увд юао не присутствовал на дне рождения экс-главы овд ""царицыно""",пронина не было на дне рождения евсюкова 26 апреля 2009 г - свидетель,"никто из руководства увд южного округа москвы или гувд столицы не присутствовал на дне рождения экс-главы овд ""царицыно"" дениса евсюкова, который отмечался за несколько часов до бойни, устроенной милиционером в супермаркете, заявил в среду в ходе допроса в мосгорсуде товарищ и сослуживец обвиняемого майора максим глухарев.по версии следствия, в ночь на 27 апреля евсюков устроил стрельбу в супермаркете ""остров"", убив двух человек и ранив семерых. как заявлял адвокат игорь трунов, представляющий потерпевших при чп, евсюков якобы устроил стрельбу в универмаге после того, как во время празднования своего дня рождения разругался ""с начальством"", в том числе с владимиром прониным, который в то время был руководителем гувд москвы.экс-глава гувд москвы пронин проходит свидетелем по делу евсюкова>>отвечая на вопрос одного из судей ""тройки"", которая рассматривает дело евсюкова, о том, видел ли свидетель кого-либо из руководителей правоохранительных органов юао или москвы, глухарев уверенно ответил: ""нет, никого не было"".при этом свидетель сообщил суду, что слышал о том, что эти руководители приезжали в овд ""зябликово"", куда был доставлен евсюков после задержания ночью 27 апреля прошлого года.""я слышал, что приезжал агеев и даже пронин, но никого сам не застал"", - добавил глухарев.он также рассказал, что у него не было возможности спросить евсюкова о том, почему тот устроил стрельбу, ""так как просто не было времени, его быстро провели мимо меня"".по свидетельству глухарева, он лично присутствовал на праздновании дня рождения экс-главы овд ""царицыно"", ушел с торже"
5,В москве создана афганская диаспора россии,"афганская диаспора россии: задачи, программы, перспективы","в январе в москве состоялся съезд афганской общины россии, где собрались более 300 видных представителей диаспоры - известные политические и общественные деятели, бизнесмены, а также представители интеллигенции. главная задача - создание организации, которая будет представлять и защищать интересы членов афганской диаспоры, налаживать нормальный механизм взаимодействия между афганской властью и афганской диаспорой в россии. также в планах организации значатся создание афганского культурного центра в москве, на базе которого планируется проводить международные выставки, национальные праздники, дискуссионные клубы, занятия русским и национальными языками, издание газеты, ориентированной на афганскую диаспору россии и стран снг, лоббирование в государственных структурах рф вопроса увеличения квот для афганских студентов в российских вузах, содействие укреплению экономических, политических и культурных связей между россией и афганистаном."
6,В москве состоялся съезд афганской диаспоры,"афганская диаспора россии: задачи, программы, перспективы","в январе в москве состоялся съезд афганской общины россии, где собрались более 300 видных представителей диаспоры - известные политические и общественные деятели, бизнесмены, а также представители интеллигенции. главная задача - создание организации, которая будет представлять и защищать интересы членов афганской диаспоры, налаживать нормальный механизм взаимодействия между афганской властью и афганской диаспорой в россии. также в планах организации значатся создание афганского культурного центра в москве, на базе которого планируется проводить международные выставки, национальные праздники, дискуссионные клубы, занятия русским и национальными языками, издание газеты, ориентированной на афганскую диаспору россии и стран снг, лоббирование в государственных структурах рф вопроса увеличения квот для афганских студентов в российских вузах, содействие укреплению экономических, политических и культурных связей между россией и афганистаном.участники пресс-конференции:- председатель президиума афганской диаспоры сафи ахтар мохаммад; – заместитель председателя афганской диаспоры мир абдулла; – заместитель председателя афганской диаспоры хваджа мир ахмад;– член президиума калантар зада мехди."
7,"расторгуев считает, что направление деятельности интересным",николай расторгуев рассчитывает как можно быстрее войти в дела госдумы,"солист группы ""любэ"", народный артист россии николай расторгуев, который в среду стал депутатом госдумы от фракции ""единая россия"", считает это направление деятельности очень интересным и намерен в ближайшие сроки разобраться со своими новыми обязанностями.""я участвовал в избирательной кампании от ставрополья в 2007 году и по итогам выборов остался в резерве. сейчас освободился один мандат, который руководство ""единой россии"" решило предложить мне. я подумал и согласился. должность депутата - это для меня новое направление деятельности, интересное, и я постараюсь как можно быстрее войти в курс дел"", - приводит пресс-служба артиста его слова.решение о передаче расторгуеву вакантного мандата фракции ""единая россия"" принял на заседании в среду центризбирком рф. как сообщила пресс-служба цик, решение принято в связи с досрочным прекращением полномочий депутата госдумы, единоросса сергея сметанюка после его назначения на должность заместителя полномочного представителя президента рф в уральском федеральном округе.певец был внесен в список ""единой россии"" по ставропольскому краю. предложить цик россии кандидатуру расторгуева для передачи ему вакантного депутатского мандата решил президиум генсовета ""единой россии"" 20 января.получив мандат депутата госдумы, расторгуев, состоящий в ""единой россии"" с 2006 года, пополнил ряды известных парламентариев, среди которых есть режиссеры, певцы, артисты и спортсмены.так, во фракцию ""единая россия"" входят режиссер станислав говорухин, балерина большого театра светлана захарова, певец иосиф кобзон, известный телеведущий валерий комиссаров и целая ""спортивная команда"": олимпийские чемпионы алина кабаева, светлана хоркина, светлана журова, антон си"
8,"ркк ""энергия"" способна создать межпланетный экспедиционный комплекс с ядерным двигателем","ркк ""энергия"" готовит проект межпланетного экспедиционного комплекса","ркк ""энергия"" способна в рамках международной кооперации, при одобрении роскосмоса и должном финансировании, создать проект межпланетного экспедиционного комплекса с ядерным двигателем, говорится в слайд-презентации главы корпорации виталия лопоты, представленной им в мгту имени баумана на академических чтениях по космонавтике, посвященных памяти сергея королева.по замыслу разработчиков, межпланетный экспедиционный комплекс массой около 480 тонн, и оснащенный как ядерной, так и электроракетной энергетической установками, будет включать в себя межпланетный орбитальный корабль, взлетно-посадочный комплекс, а также корабль возвращения на землю. согласно расчетам ркк ""энергия"", россия может занять до 25% данного сегмента только формирующегося рынка, и обеспечить среднегодовой грузопоток на сумму около одного миллиарда долларовмощность комплекса - 24 мвт (4х6 мвт), удельный импульс - до 90 км/с. данный проект - одна из возможных концепций применения ядерной энергетической установки на перспективных космических аппаратах."
9,В москве пройдет антология якутской поэзии,первая в россии антология якутской поэзии будет представлена в москве,"презентация первого в россии сборника ""антология якутской поэзии"", изданного в серии ""поэзия народов кириллической азбуки ""из века в век"", пройдет в четверг в московском доме национальностей, сообщает в среду пресс-служба учреждения.""данная серия является двуязычным изданием и выходит в рамках праздника дня славянской письменности и культуры при поддержке министерства культуры рф. в книгу якутской поэзии включены лучшие стихи якутских поэтов 20-21 веков на родном языке, и их переводы на русский язык"", - говорится в сообщении.в пресс-службе добавили, что ранее вышли тома башкирской поэзии, стихи народов ханты, манси и ненцев.""в вечере примут участие автор серии поэт и переводчик сергей гловюк, авторы из якутии - наталья харлампьева, николай лугинов, елена слепцова. а также советник министра культуры рф борис иванов, руководство дома национальностей, поэты, переводчики, ученые, представители союзов писателей и постоянных представительств республики саха (якутия) в москве"", - говорится в сообщении.день славянской письменности и культуры в россии отмечается 24 мая. этот праздник приурочен ко дню памяти святых равноапостольных братьев кирилла и мефодия, создателей славянской азбуки и проповедников христианства."
